user_id,transaction_date,region,product_category,sale_amount,price,status,city,age,subscription,email,username,raw_timestamp,store_id
U1863,2025-02-08,West,Electronics,109.34,406.56,Inactive,Delhi,36,Free,u1863@yahoo.com,,2025-02-08 15:48:09,S022
U1099,2024-05-05,North,Furniture,1174.05,560.49,,Mumbai,42,Free,,,2024-05-05 01:47:13,S021
U1337,2024-11-05,North,Furniture,4982.25,402.99,,Mumbai,45,Premium,u1337@gmail.com,user_1337,2024-11-05 17:24:03,S003
U1634,2024-02-03,North,Office Supplies,2733.96,1173.72,Inactive,Jaipur,37,Basic,u1634@yahoo.com,,2024-02-03 05:15:22,S003
U1341,2024-07-22,North,Office Supplies,3037.9,289.14,,Delhi,46,Premium,u1341@gmail.com,user_1341,2024-07-22 16:23:01,S019
U1051,2024-04-26,North,Clothing,3953.52,174.41,Pending,Mumbai,59,Premium,,user_1051,2024-04-26 04:26:00,S001
U1504,2024-07-19,West,Groceries,776.42,1715.78,,Delhi,29,Standard,u1504@outlook.com,user_1504,2024-07-19 16:51:11,S024
U1215,2025-03-20,North,Toys,4064.0,422.82,Pending,Mumbai,64,Basic,u1215@company.com,user_1215,2025-03-20 03:33:42,S021
U1611,2024-11-28,South,Electronics,1494.64,178.55,Inactive,Bangalore,25,Free,u1611@outlook.com,user_1611,2024-11-28 15:09:04,S006
U1591,2024-12-19,West,Toys,1358.76,114.52,,Delhi,34,Free,u1591@yahoo.com,user_1591,2024-12-19 22:24:30,S009
U1483,2024-06-03,East,Electronics,2825.84,179.93,Inactive,Lucknow,22,Standard,u1483@yahoo.com,user_1483,2024-06-03 20:44:20,S019
U1186,2024-10-26,West,Groceries,4634.82,573.25,,Delhi,30,Standard,u1186@company.com,,2024-10-26 14:32:19,S005
U1612,2025-03-30,North,Furniture,1426.73,1523.38,,Chennai,33,Premium,u1612@outlook.com,user_1612,2025-03-30 06:34:03,S022
U1110,2024-12-16,West,Clothing,467.95,823.09,Active,Delhi,44,Basic,u1110@gmail.com,user_1110,2024-12-16 09:23:33,S009
U1792,2024-10-19,South,Furniture,2141.19,118.55,Inactive,Bangalore,56,Free,u1792@gmail.com,user_1792,2024-10-19 18:57:44,S018
U1865,2025-03-17,East,Electronics,1582.45,173.51,Active,Pune,33,Free,u1865@outlook.com,user_1865,2025-03-17 01:11:25,S008
U1795,2024-09-30,South,Groceries,787.31,1548.56,Pending,Bangalore,17,Premium,u1795@yahoo.com,user_1795,2024-09-30 07:00:00,S022
U1237,2024-06-22,West,Office Supplies,1234.32,,Inactive,Mumbai,32,Free,u1237@company.com,user_1237,2024-06-22 06:33:00,S024
U1272,2025-02-13,East,Groceries,253.39,1970.17,,Bangalore,63,Free,u1272@gmail.com,user_1272,2025-02-13 19:53:04,S003
U1614,2025-02-03,West,Clothing,939.78,1699.96,Pending,Kolkata,15,Standard,u1614@yahoo.com,user_1614,2025-02-03 02:12:46,S004
