customer_id,customer_name,segment,country,city,state,region
NF-10326,Nancy Flores,Consumer,United States,Pearland (Updated),Texas,Central
KM-10606,Kimberly Martinez,Home Office,United States,Columbia (Updated),Missouri,Central
GG-12425,George Green,Consumer,United States,Denver (Updated),Colorado,West
DC-210273,Dorothy Carter,Corporate,United States,Springfield,Ohio,East
NJ-12833,Nancy Jackson,Corporate,United States,Hoover (Updated),Alabama,South
RG-12851,Richard Green,Consumer,United States,Springdale (Updated),Arkansas,South
BG-210181,Betty Gomez,Home Office,United States,Evanston,Illinois,Central
AG-210051,Andrew Gonzalez,Consumer,United States,Shelton,Connecticut,East
EE-13346,Elizabeth Edwards,Home Office,United States,Lehi (Updated),Utah,West
RT-210183,Rebecca Thompson,Consumer,United States,Lakeville,Minnesota,Central
DM-210056,Dorothy Mitchell,Corporate,United States,Rancho Cucamonga,California,West
SS-11556,Stephanie Scott,Corporate,United States,Decatur (Updated),Illinois,Central
MS-12107,Margaret Sanchez,Consumer,United States,Santa Clara (Updated),California,West
SP-13918,Susan Phillips,Consumer,United States,Ontario (Updated),California,West
AW-12110,Andrew Wright,Consumer,United States,Nashville (Updated),Tennessee,South
AR-210081,Amanda Roberts,Home Office,United States,San Angelo,Texas,Central
EA-210011,Emily Allen,Home Office,United States,Bozeman,Montana,West
PA-10519,Patricia Adams,Home Office,United States,Moreno Valley (Updated),California,West
JC-13369,James Collins,Corporate,United States,Florence (Updated),Alabama,South
SA-10217,Steven Adams,Home Office,United States,Lafayette (Updated),Indiana,Central
JT-10838,Joseph Turner,Home Office,United States,Morristown (Updated),New Jersey,East
JP-210010,Jessica Perez,Home Office,United States,Baltimore,Maryland,East
LM-13148,Laura Martinez,Home Office,United States,La Porte (Updated),Indiana,Central
DE-210083,Daniel Edwards,Consumer,United States,Aberdeen,South Dakota,Central
SG-11840,Stephanie Gonzalez,Home Office,United States,Grove City (Updated),Ohio,East
JN-10122,Jessica Nelson,Home Office,United States,Warwick (Updated),Rhode Island,East
JW-210058,Jeffrey Wilson,Corporate,United States,Farmington,New Mexico,West
MM-210152,Melissa Moore,Corporate,United States,Caldwell,Idaho,West
JR-210240,Jennifer Rivera,Corporate,United States,Revere,Massachusetts,East
LT-10121,Laura Thompson,Consumer,United States,Lansing (Updated),Michigan,Central
MT-12163,Margaret Taylor,Corporate,United States,Burlington (Updated),Vermont,East
TW-210151,Thomas Wright,Consumer,United States,Mcallen,Texas,Central
JH-210193,John Harris,Consumer,United States,Bridgeton,New Jersey,East
WD-12180,William Davis,Home Office,United States,Logan (Updated),Utah,West
JR-12588,Jessica Ramirez,Home Office,United States,Montebello (Updated),California,West
KH-11330,Kimberly Hall,Home Office,United States,Harlingen (Updated),Texas,Central
KA-13162,Kenneth Adams,Consumer,United States,Port Arthur (Updated),Texas,Central
JP-13837,Joshua Parker,Corporate,United States,Orange (Updated),New Jersey,East
BL-12094,Barbara Lewis,Consumer,United States,Santa Clara (Updated),California,West
DB-10837,Daniel Brown,Consumer,United States,Franklin (Updated),Massachusetts,East
MS-210162,Margaret Scott,Home Office,United States,Lakewood,New Jersey,East
LH-210170,Lisa Hernandez,Home Office,United States,Des Moines,Washington,West
JH-11641,Jennifer Hernandez,Corporate,United States,Sacramento (Updated),California,West
ST-210271,Sarah Torres,Home Office,United States,Newark,Delaware,East
DW-210106,Daniel White,Consumer,United States,Peoria,Arizona,West
DC-210282,David Campbell,Consumer,United States,Washington,District of Columbia,East
ES-14077,Edward Smith,Corporate,United States,Cottage Grove (Updated),Minnesota,Central
MR-210272,Mary Rivera,Corporate,United States,Roseville,Minnesota,Central
BT-210286,Betty Torres,Corporate,United States,Eau Claire,Wisconsin,Central
BJ-13240,Barbara Jones,Home Office,United States,Lancaster (Updated),Ohio,East
ER-210015,Edward Ramirez,Consumer,United States,Columbia,Missouri,Central
GG-14159,George Garcia,Home Office,United States,Torrance (Updated),California,West
KM-13617,Karen Moore,Home Office,United States,Stockton (Updated),California,West
SN-210140,Sandra Nelson,Home Office,United States,Santa Maria,California,West
DB-210072,Deborah Baker,Corporate,United States,Woonsocket,Rhode Island,East
JK-210196,Joseph King,Consumer,United States,Warwick,Rhode Island,East
RT-210177,Robert Taylor,Home Office,United States,Clifton,New Jersey,East
EC-10810,Emily Clark,Home Office,United States,Houston (Updated),Texas,Central
SL-210088,Sharon Lee,Home Office,United States,Deltona,Florida,South
MT-210255,Melissa Taylor,Corporate,United States,Summerville,South Carolina,South
BF-13676,Brian Flores,Consumer,United States,League City (Updated),Texas,Central
RM-13317,Richard Mitchell,Home Office,United States,Pearland (Updated),Texas,Central
SG-13441,Steven Gonzalez,Home Office,United States,Moorhead (Updated),Minnesota,Central
JA-210066,John Allen,Home Office,United States,San Angelo,Texas,Central
SM-14105,Susan Moore,Home Office,United States,Concord (Updated),New Hampshire,East
DS-210297,David Smith,Consumer,United States,Oxnard,California,West
JK-10230,James King,Corporate,United States,Murrieta (Updated),California,West
AB-10294,Anthony Brown,Corporate,United States,Oceanside (Updated),California,West
LS-11158,Lisa Smith,Corporate,United States,Edinburg (Updated),Texas,Central
