customer_id,customer_name,segment,country,city,state,region
MK-13574,Mary King,Consumer,United States,Cheyenne,Wyoming,West
DN-12297,David Nguyen,Consumer,United States,Westfield,New Jersey,East
EA-10797,Emily Adams,Corporate,United States,New Castle,Indiana,Central
JN-13680,James Nelson,Corporate,United States,Pasco,Washington,West
NN-13156,Nancy Nguyen,Consumer,United States,Covington,Washington,West
CH-13599,Chris Hall,Home Office,United States,Orem,Utah,West
RD-11421,Ronald Davis,Corporate,United States,Sterling Heights,Michigan,Central
JT-12361,Joseph Turner,Home Office,United States,Champaign,Illinois,Central
JM-10032,Jessica Mitchell,Home Office,United States,Kissimmee,Florida,South
MD-12793,Margaret Diaz,Corporate,United States,Tinley Park,Illinois,Central
PN-13874,Patricia Nelson,Consumer,United States,Johnson City,Tennessee,South
DG-12261,Daniel Garcia,Consumer,United States,San Angelo,Texas,Central
MD-10185,Mary Diaz,Corporate,United States,Pine Bluff,Arkansas,South
GP-11778,George Phillips,Corporate,United States,Aberdeen,South Dakota,Central
DH-11563,Dorothy Hill,Consumer,United States,Hamilton,Ohio,East
AW-12033,Andrew Walker,,United States,Hoover,Alabama,South
BC-11370,Brian Carter,Corporate,United States,Coppell,Texas,Central
RT-11304,Rebecca Torres,Consumer,United States,Oak Park,Michigan,Central
TC-10174,Thomas Carter,Home Office,United States,Jackson,Tennessee,South
AS-12434,Ashley Scott,Corporate,United States,Miramar,Florida,South
RP-12397,Robert Parker,Consumer,United States,Johnson City,Tennessee,South
CH-10491,Charles Harris,Corporate,United States,Dearborn Heights,Michigan,Central
JE-11084,Jennifer Edwards,Consumer,United States,Lincoln Park,Michigan,Central
JR-12158,Joseph Robinson,Corporate,United States,Homestead,Florida,South
LP-13626,Laura Phillips,Home Office,United States,Hoover,Alabama,South
TW-10558,Thomas Williams,Corporate,United States,Murrieta,California,West
JD-13756,Jeffrey Davis,Consumer,United States,Santa Maria,California,West
RG-11628,Rebecca Green,Corporate,United States,Tucson,Arizona,West
MR-10457,Mary Robinson,Corporate,United States,Inglewood,California,West
KA-12669,Kenneth Allen,,United States,Jamestown,New York,East
MS-11268,Margaret Sanchez,Corporate,United States,Greenwood,Indiana,Central
JP-12209,Jeffrey Perez,Home Office,United States,Grand Prairie,Texas,Central
AC-11328,Andrew Campbell,Consumer,United States,Sanford,Florida,South
DD-13312,Dorothy Davis,,United States,Miramar,Florida,South
KR-14091,Kimberly Rivera,Consumer,United States,Pasco,Washington,West
LN-13083,Lisa Nelson,Corporate,United States,San Mateo,California,West
SP-10782,Susan Parker,,United States,Marion,Ohio,East
AC-11843,Andrew Collins,Corporate,United States,Hialeah,Florida,South
JW-12618,Jessica Wilson,Consumer,United States,Sheboygan,Wisconsin,Central
LA-13909,Linda Allen,,United States,Inglewood,California,West
WR-11378,William Rivera,Home Office,United States,Concord,New Hampshire,East
MN-13790,Michael Nelson,Corporate,United States,Huntington Beach,California,West
SR-11433,Sandra Rivera,Consumer,United States,Lincoln Park,Michigan,Central
BR-12153,Barbara Rivera,Home Office,United States,Norfolk,Nebraska,Central
DE-12673,Dorothy Edwards,Home Office,United States,Texas City,Texas,Central
TS-13337,Timothy Smith,Consumer,United States,Bowling Green,Ohio,East
EE-11417,Emily Evans,Consumer,United States,Fremont,Nebraska,Central
CT-11037,Chris Thomas,Home Office,United States,Port Saint Lucie,Florida,South
AH-13186,Ashley Hall,Home Office,United States,Ontario,California,West
BJ-11137,Brian Jones,Corporate,United States,Elmhurst,Illinois,Central
JL-13120,Jason Lee,Home Office,United States,Lake Charles,Louisiana,South
EG-12883,Emily Garcia,Consumer,United States,Anaheim,California,West
JP-12764,Joshua Perez,Home Office,United States,Eagan,Minnesota,Central
GR-11724,George Robinson,Home Office,United States,Baltimore,Maryland,East
DR-10116,Dorothy Ramirez,Consumer,United States,Kissimmee,Florida,South
SK-10564,Stephanie King,Consumer,United States,Tigard,Oregon,West
JT-11692,Jennifer Turner,Consumer,United States,Vancouver,Washington,West
LC-12339,Laura Carter,Consumer,United States,Everett,Washington,West
MB-11792,Melissa Brown,Corporate,United States,Burbank,California,West
LN-11800,Linda Nelson,Corporate,United States,North Miami,Florida,South
DM-10659,Donna Martin,Home Office,United States,Decatur,Alabama,South
LM-12626,Laura Martinez,Home Office,United States,Kenner,Louisiana,South
GB-10669,George Brown,Home Office,United States,Grove City,Ohio,East
BE-13823,Brian Edwards,Home Office,United States,Canton,Michigan,Central
DT-13474,David Torres,Consumer,United States,San Mateo,California,West
DP-10425,Daniel Parker,Home Office,United States,Thornton,Colorado,West
EM-10520,Emily Miller,Consumer,United States,Nashua,New Hampshire,East
MR-10378,Matthew Robinson,Home Office,United States,Vacaville,California,West
JA-11393,Jessica Allen,Home Office,United States,Spokane,Washington,West
EK-13645,Edward King,Corporate,United States,Caldwell,Idaho,West
LB-11028,Lisa Brown,Home Office,United States,Norfolk,Nebraska,Central
RL-13897,Robert Lewis,Corporate,United States,Garland,Texas,Central
BW-10881,Betty Wright,Home Office,United States,Buffalo Grove,Illinois,Central
SR-10624,Sharon Rivera,Home Office,United States,Sunnyvale,California,West
PL-11014,Paul Lee,Home Office,United States,Chattanooga,Tennessee,South
PM-11055,Patricia Martinez,Consumer,United States,Redmond,Oregon,West
RC-11512,Rebecca Clark,Consumer,United States,Chicago,Illinois,Central
KL-14007,Kevin Lopez,Consumer,United States,Paterson,New Jersey,East
DC-13313,Donald Clark,Home Office,United States,Waterloo,Iowa,Central
BY-11722,Brian Young,Home Office,United States,Virginia Beach,Virginia,South
AM-13524,Ashley Mitchell,Consumer,United States,Saint Charles,Missouri,Central
CN-12148,Carol Nguyen,Corporate,United States,Bowling Green,Kentucky,South
CB-14033,Carol Brown,Consumer,United States,Lebanon,Tennessee,South
AS-14193,Amanda Sanchez,Consumer,United States,Paterson,New Jersey,East
JR-13984,Jeffrey Ramirez,Corporate,United States,Oak Park,Michigan,Central
MH-12145,Michelle Harris,Consumer,United States,Hialeah,Florida,South
NT-11463,Nancy Thompson,Home Office,United States,Great Falls,Montana,West
KC-11127,Karen Campbell,Consumer,United States,Florence,South Carolina,South
RW-14035,Rebecca Wright,,United States,Woodland,California,West
KD-10206,Kevin Davis,Consumer,United States,Marion,Iowa,Central
KH-10023,Kenneth Hernandez,Home Office,United States,Texas City,Texas,Central
GL-11624,George Lee,Corporate,United States,Waco,Texas,Central
DT-12776,Dorothy Thompson,Consumer,United States,Jacksonville,North Carolina,South
BH-10821,Betty Harris,Home Office,United States,Redondo Beach,California,West
JA-11114,Joshua Anderson,Home Office,United States,New York City,New York,East
BH-13167,Barbara Harris,Home Office,United States,Chandler,Arizona,West
SK-12414,Stephanie King,Corporate,United States,Oak Park,Illinois,Central
SM-13700,Susan Mitchell,Consumer,United States,Murfreesboro,Tennessee,South
SG-11935,Sandra Gomez,Home Office,United States,North Miami,Florida,South
MC-11903,Michael Clark,Consumer,United States,Concord,New Hampshire,East
LM-10440,Lisa Martin,Home Office,United States,Manteca,California,West
PC-12813,Patricia Collins,Consumer,United States,Boise,Idaho,West
DG-13585,David Gomez,Home Office,United States,Jonesboro,Arkansas,South
DC-12008,Dorothy Collins,Consumer,United States,Thousand Oaks,California,West
AL-13022,Andrew Lewis,Corporate,United States,Monroe,North Carolina,South
LE-13953,Laura Evans,Home Office,United States,Southaven,Mississippi,South
SS-11213,Steven Sanchez,Home Office,United States,Fayetteville,Arkansas,South
JJ-10742,John Jackson,Consumer,United States,Dearborn Heights,Michigan,Central
MW-12847,Matthew Wilson,Consumer,United States,Grand Rapids,Michigan,Central
JJ-12329,John Jones,Home Office,United States,Oklahoma City,Oklahoma,Central
DJ-12996,Donald Jones,Consumer,United States,Bangor,Maine,East
MK-10438,Melissa King,Corporate,United States,Royal Oak,Michigan,Central
AL-14012,Anthony Lewis,Consumer,United States,Kent,Ohio,East
RC-12617,Ronald Clark,Corporate,United States,Oak Park,Michigan,Central
